location;region;n;e
Gołąbki;Kujawsko-Pomorskie;52.6333;17.7500
Gołąbki;Mazowieckie;52.2032;20.8598
Gołąsza Dolna;Śląskie;50.4000;19.1333
Gołąsza Górna;Śląskie;50.4167;19.1167
Gołcewo;Pomorskie;54.2000;17.6500
Gołcza;Małopolskie;50.3372;19.9262
Gołdap;Podlaskie;54.3078;22.3003
Gołe Łazy;Mazowieckie;51.8000;22.0167
Gołębice;Wielkopolskie;51.1833;17.6833
Gołębie;Mazowieckie;52.6500;20.7667
Gołębie;Lubelskie;50.6333;24.0833
Gołębie Ucząstkowe;Mazowieckie;52.6500;20.7833
Gołębie Wyszki;Mazowieckie;52.6500;20.7667
Gołębiewko;Pomorskie;54.1167;18.5500
Gołębiewo;Warmińsko-Mazurskie;53.3500;20.2000
Gołębiewo;Pomorskie;54.1500;18.5667
Gołębiewo;Kujawsko-Pomorskie;53.3833;18.9833
Gołębin Parcele;Kujawsko-Pomorskie;52.5500;18.9167
Gołębiowizna;Mazowieckie;52.3833;21.5667
Gołębiów;Mazowieckie;51.4333;21.2000
Gołębiów;Mazowieckie;51.2000;21.6333
Gołębiów;Podkarpackie;50.7333;21.5167
Gołębiów;Mazowieckie;52.2667;19.3500
Gołębiówek;Mazowieckie;52.2500;19.3000
Gołębiówka;Mazowieckie;52.1833;21.8833
Gołębiówka;Śląskie;49.8500;19.5500
Gołęczewo;Wielkopolskie;52.5333;16.8167
Gołęczyna;Małopolskie;49.9667;21.3500
Gołka;Wielkopolskie;52.7167;17.4333
Gołkowice;Małopolskie;49.5500;20.5833
Gołkowice;Małopolskie;49.9667;19.9833
Gołkowice;Warmińsko-Mazurskie;49.9167;18.5000
Gołkowice Dolne;Małopolskie;49.5500;20.5833
Gołkowice Polskie;Małopolskie;49.5333;20.5833
Gołkowo;Kujawsko-Pomorskie;53.2000;19.5667
Gołków;Mazowieckie;52.0500;20.9833
Gołków;Wielkopolskie;52.2667;17.8667
Gołocice;Mazowieckie;52.1333;19.2333
Gołocin;Dolnośląskie;51.2333;15.9667
Gołogóra;Warmińsko-Mazurskie;53.8833;20.2500
Gołogóra;Zachodniopomorskie;54.0000;16.7333
Gołonóg;Śląskie;50.3500;19.2333
Gołoqłowy;Dolnośląskie;50.4667;16.6667
Gołostowice;Dolnośląskie;50.7500;16.9667
Gołosze;Mazowieckie;51.7667;20.6333
Gołoszka;Śląskie;49.7500;19.5500
Gołoszyce;Podkarpackie;50.8000;21.3000
Gołoszyce Dolne;Mazowieckie;51.7833;21.3167
Gołoszyce Górne;Podkarpackie;50.8000;21.2833
Gołotczyzna;Mazowieckie;52.7833;20.7000
Gołoty;Mazowieckie;52.8333;20.5667
Gołoty;Pomorskie;53.2333;18.4167
Gołowierzchy;Mazowieckie;52.0167;22.5000
Gołubie;Pomorskie;54.2167;18.0333
Gołuchowice;Śląskie;50.5833;19.6167
Gołuchowice;Śląskie;50.4500;19.2833
Gołuchowice;Małopolskie;49.9500;19.7833
Gołuchów;Świętokrzyskie;50.6333;20.6167
Gołuchów;Wielkopolskie;51.8500;17.9333
Gołuchy;Kujawsko-Pomorskie;51.6667;18.6000
Gołuski;Wielkopolskie;52.3500;16.7500
Gołuszyce;Kujawsko-Pomorskie;53.3667;18.2167
Gołuszyn;Mazowieckie;52.9500;19.9833
Gołymin Nowy;Mazowieckie;52.8000;20.9000
Gołymin Północ;Mazowieckie;52.8000;20.8833
Gołymin-Ośrodek;Mazowieckie;52.8167;20.8667
Gołyń;Kujawsko-Pomorskie;51.8667;20.4167
Gołysa;Świętokrzyskie;51.1667;20.6167
Gołystok;Mazowieckie;52.7333;21.3500
Gołysz;Śląskie;49.9167;18.8833
Gołyszyn;Małopolskie;50.2667;19.9167
Gomółka;Podlaskie;53.7000;23.2333
Gomulin;Kujawsko-Pomorskie;51.4167;19.5667
Gomunice;Kujawsko-Pomorskie;51.1667;19.4833
Gongolina;Kujawsko-Pomorskie;52.1746;20.4538
Goniadz;Podlaskie;53.4833;22.7500
Gonice;Wielkopolskie;52.3167;17.7333
Goniczki;Wielkopolskie;52.3167;17.7167
Goniębice;Wielkopolskie;51.9000;16.6167
Goniwilk Nowy;Mazowieckie;51.8333;21.8500
Goniwilk Stary;Mazowieckie;51.8333;21.8333
Gontarze;Podlaskie;53.2000;21.7333
Gonty;Warmińsko-Mazurskie;53.7833;19.1833
Gończyce;Mazowieckie;51.7833;21.7333
Gora;Podkarpackie;50.2667;23.5000
Gorai;Małopolskie;52.5667;15.7333
Goraj;Lubelskie;50.7167;22.6667
Goraj;Wielkopolskie;52.8667;16.5000
Goraj Bzowo;Wielkopolskie;52.8667;16.4833
Gorajec;Lubelskie;50.6833;22.8667
Gorajec;Podkarpackie;50.2667;23.2167
Gorajowice;Podkarpackie;49.7667;21.5000
Goranin;Wielkopolskie;52.3667;18.2500
Goraninek;Wielkopolskie;52.4667;17.4333
Goranowice;Opolskie;50.4000;17.2000
Goraszowice;Opolskie;50.5167;17.2333
Gorawino;Zachodniopomorskie;53.9833;15.4833
Gorazdowo;Podlaskie;53.9833;21.7167
Gorazdowo;Wielkopolskie;52.2333;17.6833
Gorce;Dolnośląskie;50.7667;16.1667
Gorczenica;Kujawsko-Pomorskie;53.2167;19.3833
Gorczyca;Podlaskie;53.9167;23.2833
Gorczyce;Podlaskie;54.1500;22.4833
Gorczyce;Podlaskie;53.6667;22.3667
Gorczyn;Kujawsko-Pomorskie;51.5833;19.1500
Gordejki;Podlaskie;54.0500;22.4000
Gorenice;Małopolskie;50.2167;19.6167
Goreń Duży;Kujawsko-Pomorskie;52.5333;19.2833
Goreń Mały;Mazowieckie;52.5333;19.3833
Goreń Mały;Kujawsko-Pomorskie;52.5167;19.2833
Goręczyno;Pomorskie;54.2667;18.1667
Gorki;Mazowieckie;52.4500;21.9000
Gorki;Małopolskie;50.0833;20.6500
Gorlice;Małopolskie;49.6667;21.1667
Gorliczyna;Podkarpackie;50.0667;22.4833
Gorło;Podlaskie;53.9333;22.2167
Gorłówko;Podlaskie;53.9667;22.2167
Gorna;Dolnośląskie;50.7167;16.3667
Gorniak;Dolnośląskie;50.6000;17.0833
Gornowola;Świętokrzyskie;50.3167;20.8500
Gorowychy;Warmińsko-Mazurskie;53.8000;19.2333
Gorowychy Małe;Warmińsko-Mazurskie;53.8000;19.2333
Gorszczyzna;Podlaskie;53.4333;21.8167
Gorszewice;Wielkopolskie;52.5167;16.5333
Gortatowice;Kujawsko-Pomorskie;51.6667;20.3667
Gortatowo;Wielkopolskie;52.4333;17.1000
Gortaty;Mazowieckie;52.7333;20.8000
Goruńsko;Małopolskie;52.4833;15.4000
Goryń;Mazowieckie;51.5500;21.2833
Goryń;Warmińsko-Mazurskie;53.5500;19.2833
Goryń;Kujawsko-Pomorskie;51.3833;19.0333
Gorysławice;Świętokrzyskie;50.3500;20.7000
Gorysze;Mazowieckie;52.9000;20.5333
Goryszewo;Kujawsko-Pomorskie;52.6333;18.0333
Gorz;Śląskie;51.0000;18.4000
Gorzakiew;Świętokrzyskie;50.6000;20.8833
Gorzałów;Kujawsko-Pomorskie;51.7000;18.5000
Gorzanowice;Dolnośląskie;50.9500;16.0833
Gorzanów;Dolnośląskie;50.3500;16.6333
Gorzany;Małopolskie;49.5000;20.4667
Gorzany;Kujawsko-Pomorskie;52.7833;18.1500
Gorzebądz;Zachodniopomorskie;54.2167;16.2500
Gorzechowo;Mazowieckie;52.6333;19.4833
Gorzejowa;Podkarpackie;49.9333;21.3667
Gorzekały;Podlaskie;53.7500;22.0500
Gorzeń;Kujawsko-Pomorskie;53.1333;17.7333
Gorzeń;Mazowieckie;52.9500;19.6500
Gorzeń Dolny;Śląskie;49.8667;19.5000
Gorzeń Górny;Śląskie;49.8500;19.5000
Gorzeszów;Dolnośląskie;50.7000;16.1000
Gorzeszyn;Kujawsko-Pomorskie;52.8000;19.4167
Gorzew;Kujawsko-Pomorskie;51.7167;19.3500
Gorzewnica;Mazowieckie;52.3667;20.3833
Gorzewo;Wielkopolskie;52.7833;16.8333
Gorzewo;Wielkopolskie;52.7333;17.3833
Gorzewo;Mazowieckie;52.4833;19.5167
Gorzewo;Mazowieckie;52.4167;19.6667
Gorzędów;Kujawsko-Pomorskie;51.2167;19.5500
Gorzędziej;Pomorskie;54.0500;18.8167
Gorzkiewki;Mazowieckie;52.1500;20.9833
Gorzkowice;Kujawsko-Pomorskie;51.2167;19.6000
Gorzkowiczki;Kujawsko-Pomorskie;51.2333;19.5833
Gorzków;Lubelskie;50.9500;23.0167
Gorzków;Lubelskie;50.9500;22.9833
Gorzków;Podkarpackie;50.6833;21.2500
Gorzków;Świętokrzyskie;50.2167;20.5000
Gorzków;Małopolskie;49.9167;20.0333
Gorzków Nowy;Śląskie;50.6833;19.4667
Gorzków Stary;Śląskie;50.6833;19.4833
Gorzów;Śląskie;50.0667;19.2333
Gorzów Śląski;Śląskie;51.0333;18.4333
Gorzów Wielkopolski;Lubuskie;52.7333;15.2333
Gorzuchowo;Kujawsko-Pomorskie;53.3500;18.6833
Gorzuchów;Dolnośląskie;50.4833;16.5833
Gorzuchówek;Dolnośląskie;50.4833;16.5000
Gorzuchy;Kujawsko-Pomorskie;51.6000;18.5833
Gorzupia;Wielkopolskie;51.7000;17.5167
Gorzupia Dolna;Lubuskie;51.7333;15.2833
Gorzupia Górna;Lubuskie;51.7000;15.2833
Gorzyca;Zachodniopomorskie;54.3000;16.4833
Gorzyca;Małopolskie;52.4667;15.5000
Gorzyce;Podkarpackie;50.6667;21.8500
Gorzyce;Małopolskie;50.1833;20.8500
Gorzyce;Podkarpackie;50.1333;22.5833
Gorzyce;Podkarpackie;49.6333;21.5333
Gorzyce;Kujawsko-Pomorskie;52.8833;17.5833
Gorzyce;Wielkopolskie;52.2167;17.5667
Gorzyce;Wielkopolskie;52.1000;16.7833
Gorzyce;Warmińsko-Mazurskie;49.9500;18.4167
Gorzyce Małe;Wielkopolskie;51.6000;17.7000
Gorzyce Wielkie;Wielkopolskie;51.6333;17.7167
Gorzycko;Małopolskie;52.5833;15.8667
Gorzyczany;Podkarpackie;50.6333;21.6000
Gorzyczki;Wielkopolskie;52.1167;16.8167
Gorzyczki;Warmińsko-Mazurskie;49.9333;18.4167
Gorzykowo;Wielkopolskie;52.4000;17.7167
Gorzyniec;Dolnośląskie;50.8500;15.6000
Gorzyno;Pomorskie;54.5500;17.4833
Gorzyń;Małopolskie;52.5667;15.9000
Gorzysław;Pomorskie;54.5500;17.4167
Gorzysław;Zachodniopomorskie;54.0833;15.3000
Gosań;Świętokrzyskie;51.1000;20.5833
Gosie Duże;Podlaskie;53.0500;22.3500
Goski Wąsosze;Mazowieckie;53.1500;20.8500
Gosław;Zachodniopomorskie;54.0500;15.4000
Gosławice;Małopolskie;50.0333;20.8833
Gosławice;Kujawsko-Pomorskie;52.7500;18.6833
Gosławice;Kujawsko-Pomorskie;52.0500;19.6333
Gosławice;Kujawsko-Pomorskie;51.1167;19.5667
Gosławice;Śląskie;50.7333;18.4833
Gosławice;Opolskie;50.6833;17.9667
Gosławice;Wielkopolskie;52.2833;18.2500
Gosławslia;Opolskie;50.6833;17.9667
Gospodarz;Kujawsko-Pomorskie;51.6667;19.4500
Gosprzydowa;Małopolskie;49.8833;20.5833
Gostchorza;Mazowieckie;52.0500;22.3000
Gostchorze;Lubuskie;52.0500;15.1667
Gostkow;Dolnośląskie;50.8500;16.1000
Gostkowice;Małopolskie;52.6263;15.0738
Gostkowo;Mazowieckie;52.9667;20.9167
Gostkowo;Mazowieckie;52.9000;20.6167
Gostkowo;Podlaskie;52.7833;22.2500
Gostkowo;Mazowieckie;52.7667;21.2667
Gostkowo;Pomorskie;54.2167;17.4667
Gostkowo;Kujawsko-Pomorskie;53.1167;18.7000
Gostkowo;Wielkopolskie;51.7000;16.9833
Gostków;Świętokrzyskie;51.1333;20.7667
Gostków;Kujawsko-Pomorskie;51.9667;18.9833
Gostomia;Mazowieckie;51.6333;20.6500
Gostomia;Zachodniopomorskie;53.1833;16.4333
Gostomia;Opolskie;50.3833;17.7333
Gostomie;Pomorskie;54.1833;17.8667
Gostomin;Mazowieckie;52.8000;20.5000
Gostomin;Zachodniopomorskie;53.6667;15.3500
Gostomko;Pomorskie;54.1667;17.8333
Gostuń;Wielkopolskie;52.3667;18.0000
Gostwica;Małopolskie;49.6167;20.6000
Gostyczyn;Kujawsko-Pomorskie;53.4833;17.8167
Gostyczyna;Wielkopolskie;51.6833;18.0833
Gostynie;Wielkopolskie;51.9167;18.2833
Gostyniec;Zachodniopomorskie;53.9833;14.9667
Gostynin;Mazowieckie;52.4333;19.4833
Gostyń;Zachodniopomorskie;54.0333;14.9500
Gostyń;Wielkopolskie;51.8833;17.0167
Gostyń;Śląskie;50.1000;18.9000
Gostyń Łobeski;Zachodniopomorskie;53.8167;15.3333
Goszcz;Dolnośląskie;51.4000;17.4833
Goszcza;Małopolskie;50.1833;20.0667
Goszczanowiec;Małopolskie;52.7500;15.6167
Goszczanowo;Małopolskie;52.7167;15.6167
Goszczanów;Kujawsko-Pomorskie;51.7833;18.5167
Goszczewice;Mazowieckie;51.4667;20.8167
Goszczk;Mazowieckie;52.8833;20.1333
Goszczowa;Kujawsko-Pomorskie;51.0500;19.7667
Goszczowice;Opolskie;50.5667;17.6167
Goszczyce;Mazowieckie;52.7333;20.3667
Goszczyce Młyńskie;Mazowieckie;52.7500;20.3667
Goszczyce Podleśne;Mazowieckie;52.7500;20.3500
Goszczyce Poświętne;Mazowieckie;52.7500;20.3500
Goszczyce Średnie;Mazowieckie;52.7333;20.3667
Goszczyn;Mazowieckie;51.7333;20.8500
Goszczyna;Dolnośląskie;50.8833;17.1833
Goszczyno;Pomorskie;54.7833;18.1500
Goszków;Zachodniopomorskie;52.8500;14.5000
Goszowice;Opolskie;50.5500;17.3333
Goszów;Dolnośląskie;50.2833;16.8833
Goszyce;Małopolskie;50.1833;20.1333
Goszyce;Dolnośląskie;50.4667;16.7000
Goszyn;Pomorskie;54.0667;18.7000
Gościce;Opolskie;50.4333;17.0000
Gościcino;Pomorskie;54.6000;18.1500
Gościecice;Dolnośląskie;50.7500;17.1000
Gościejew;Wielkopolskie;51.7833;17.3500
Gościejewice;Wielkopolskie;51.7333;16.8000
Gościejewko;Wielkopolskie;52.8000;16.9000
Gościejewo;Mazowieckie;52.7833;21.0500
Gościejewo;Wielkopolskie;52.7833;16.9500
Gościejowice;Opolskie;50.6500;17.6500
Gościejów;Opolskie;50.6667;17.6667
Gościeńczyce;Mazowieckie;51.9167;20.9500
Gościeradów;Podkarpackie;50.8667;22.0167
Gościeradów Plebański;Podkarpackie;50.8667;21.9833
Gościeradz;Kujawsko-Pomorskie;53.2667;17.9167
Gościeszowice;Lubuskie;51.6000;15.6667
Gościeszyn;Kujawsko-Pomorskie;52.6667;17.7333
Gościeszyn;Lubuskie;52.1000;16.2167
Gościeszynek;Wielkopolskie;52.6500;17.7000
Gościewicz;Mazowieckie;51.9500;21.8500
Gościęcin;Świętokrzyskie;50.9000;19.8000
Gościęcin;Opolskie;50.2833;18.0000
Gościęcin Bór;Świętokrzyskie;50.8833;19.8000
Gościkowo;Lubuskie;52.3333;15.5500
Gościm;Małopolskie;52.7667;15.7167
Gościmin Zawady;Mazowieckie;52.7167;20.6167
Gościmowice;Kujawsko-Pomorskie;51.5333;19.6833
Gościniec;Świętokrzyskie;50.8167;20.4167
Gościniec;Podkarpackie;50.3333;22.2167
Gościniec;Małopolskie;52.8000;15.6167
Gościnko;Zachodniopomorskie;53.9833;15.7500
Gościnna;Kujawsko-Pomorskie;51.2500;19.6333
Gościno;Zachodniopomorskie;54.0500;15.6500
Gościnowo;Małopolskie;52.6845;15.4382
Gościradów;Lubuskie;51.5167;15.1333
Gościszewo;Warmińsko-Mazurskie;53.9833;19.0000
Gościszka;Mazowieckie;53.1167;20.0167
Gościszkie Baraki;Mazowieckie;53.1333;19.9667
Gościszów;Dolnośląskie;51.1500;15.4500
Gościsźow;Lubuskie;51.7667;15.6333
Gośki Pełki;Podlaskie;52.9000;22.3000
Goślice;Mazowieckie;52.6000;19.8000
Goślinki;Kujawsko-Pomorskie;51.8167;20.4833
Goślinow;Wielkopolskie;52.5833;17.6333
Gośliny Nowe;Kujawsko-Pomorskie;51.7833;20.5500
Goślub;Mazowieckie;52.0833;19.4333
Goślub Drugi;Mazowieckie;52.0833;19.4500
Goślub Pierwszy;Mazowieckie;52.0833;19.4333
Gośniewice;Kujawsko-Pomorskie;51.8333;21.1500
Gośniewice;Mazowieckie;51.8000;20.9500
Goświnowice;Opolskie;50.5000;17.2500
Gotartowice;Śląskie;50.0833;18.6333
Gotelp;Pomorskie;53.8500;18.0167
Gotkowice;Małopolskie;50.2333;19.7333
Gotówka Niemiecka;Lubelskie;51.1833;23.5500
Gowarczów;Mazowieckie;51.2833;20.4333
Gowarzewo;Wielkopolskie;52.3667;17.1333
Gowarzów;Śląskie;50.9833;19.4333
Gowidlino;Pomorskie;54.3167;17.8000
Gowinko;Pomorskie;54.5833;18.2000
Gowino;Pomorskie;54.5833;18.1833
Goworki;Mazowieckie;53.1000;21.6333
Goworowice;Opolskie;50.5333;17.1500
Goworowo;Mazowieckie;52.9000;21.5667
Goworowo;Mazowieckie;52.4333;20.4333
Goworów;Dolnośląskie;50.1715;16.7311
Goworówek;Mazowieckie;52.9167;21.5833
Gozd;Zachodniopomorskie;54.0000;16.5833
Gozd;Kujawsko-Pomorskie;51.9500;19.7833
Gozdanin;Kujawsko-Pomorskie;52.6000;18.0000
Gozdanin;Dolnośląskie;51.1333;15.1167
Gozdawa;Mazowieckie;51.1333;21.5500
Gozdawa;Podkarpackie;50.7667;21.4833
Gozdawa;Świętokrzyskie;50.6500;20.6500
Gozdawa;Warmińsko-Mazurskie;54.2500;19.1667
Gozdków;Mazowieckie;51.3333;20.8833
Gozdnica;Lubuskie;51.4333;15.1000
Gozdno;Lubuskie;51.9167;14.9833
Gozdowice;Zachodniopomorskie;52.7667;14.3167
Gozdowo;Mazowieckie;52.7333;19.6833
Gozdowo;Wielkopolskie;52.2833;17.6500
Gozdów;Lubelskie;50.7667;23.8167
Gozdów;Wielkopolskie;52.1833;18.6000
Gozdów;Kujawsko-Pomorskie;51.9667;19.5667
Gozdów;Dolnośląskie;51.2667;15.6333
Gozdów Nowy;Kujawsko-Pomorskie;51.9667;19.5500
Gozdów Stary;Kujawsko-Pomorskie;51.9667;19.5667
Gozdy;Kujawsko-Pomorskie;51.4667;18.6000
Gozna;Świętokrzyskie;50.6500;20.4000
Goździchowo;Wielkopolskie;52.1500;16.4667
Goździelin;Świętokrzyskie;50.9000;21.4333
Goździk;Mazowieckie;51.9167;21.7333
Goździki;Podlaskie;52.9833;22.8667
Goździków;Mazowieckie;51.4000;20.5667
Goździków;Wielkopolskie;52.1500;18.0167
Goździówka;Mazowieckie;52.2667;21.4833
Goźlin;Mazowieckie;51.9000;21.3167
Goźlin Górny;Mazowieckie;51.9000;21.3167
Goźlin Mały;Mazowieckie;51.9000;21.3167
Gożdzin;Wielkopolskie;52.1833;16.3000
Gożlice;Podkarpackie;50.7000;21.4833
Gójsk;Mazowieckie;52.9000;19.5167
Gólki;Opolskie;50.6333;17.9000
Góra;Podlaskie;54.1333;22.7333
Góra;Podlaskie;53.8500;21.8833
Góra;Podlaskie;53.2333;22.8333
Góra;Mazowieckie;52.6500;20.1000
Góra;Mazowieckie;52.4333;20.7833
Góra;Mazowieckie;51.6167;20.5667
Góra;Lubelskie;51.2167;22.1833
Góra;Świętokrzyskie;50.5167;21.0333
Góra;Podkarpackie;50.4333;21.1667
Góra;Małopolskie;50.2000;21.2333
Góra;Podkarpackie;49.7833;21.9833
Góra;Pomorskie;54.6333;18.2833
Góra;Pomorskie;54.6333;18.1167
Góra;Warmińsko-Mazurskie;53.9667;18.9667
Góra;Pomorskie;53.9667;18.2667
Góra;Wielkopolskie;52.8833;16.4833
Góra;Kujawsko-Pomorskie;52.8667;17.7667
Góra;Wielkopolskie;52.6333;16.0833
Góra;Wielkopolskie;52.4833;16.6333
Góra;Wielkopolskie;52.4500;17.2167
Góra;Wielkopolskie;51.9833;17.3667
Góra;Kujawsko-Pomorskie;51.7833;19.9667
Góra;Kujawsko-Pomorskie;51.7167;18.5000
Góra;Wielkopolskie;51.6667;16.5333
Góra;Wielkopolskie;51.3667;17.8333
Góra;Opolskie;50.6833;17.5833
Góra;Śląskie;49.9667;19.1000
Góra Kalwaria;Mazowieckie;51.9833;21.2333
Góra Motyczna;Małopolskie;50.1000;21.3833
Góra Puławska;Lubelskie;51.4167;21.9500
Góra Ropczycka;Podkarpackie;50.0500;21.6833
Góra Siewierska;Śląskie;50.4000;19.0833
Góra Strykowa;Podlaskie;53.2167;22.5500
Góra Świętego Jana;Małopolskie;49.8167;20.2000
Góra Świętej Anny;Opolskie;50.4667;18.1667
Góra Święty Małgorzaty;Mazowieckie;52.0667;19.3333
Góra Wawrzyńca;Śląskie;50.1500;18.8000
Góra Włodowska;Śląskie;50.5833;19.4500
Góraj;Wielkopolskie;52.3833;18.6833
Górajec Zastawie;Lubelskie;50.7000;22.8667
Górale;Kujawsko-Pomorskie;53.4000;19.2500
Górale;Kujawsko-Pomorskie;51.1667;19.8167
Góralice;Zachodniopomorskie;52.9667;14.6667
Górany;Podlaskie;53.2167;23.6833
Góraszka;Mazowieckie;52.2000;21.3000
Górażdże;Opolskie;50.5333;18.0167
Górce;Mazowieckie;52.2446;20.9108
Górce Nowe;Mazowieckie;52.2447;20.9149
Górce Stare;Mazowieckie;52.2460;20.9128
Górczyn;Wielkopolskie;52.3833;16.8833
Górecko;Lubelskie;50.8833;23.0667
Górecko;Małopolskie;52.7833;15.5667
Górecko Kościelne;Lubelskie;50.5167;22.9833
Górecko Stare;Lubelskie;50.5333;23.0000
Góreczki Wielkie;Wielkopolskie;51.6333;17.1000
Góreczno;Opolskie;50.3000;17.8667
Górka;Lubelskie;51.6333;22.5000
Górka;Małopolskie;50.1500;20.6333
Górka;Wielkopolskie;52.5833;16.7000
Górka;Wielkopolskie;52.1500;16.9333
Górka;Wielkopolskie;51.9333;16.7833
Górka;Wielkopolskie;51.7333;17.2167
Górka;Lubuskie;51.6500;15.0500
Górka;Śląskie;50.9500;19.5167
Górka;Dolnośląskie;50.8833;16.7167
Górka;Opolskie;50.6667;17.5667
Górka Druga;Wielkopolskie;52.5833;16.7167
Górka Duchowna;Wielkopolskie;51.9500;16.6000
Górka Jaklińska;Małopolskie;50.1667;20.2667
Górka Kościejowska;Świętokrzyskie;50.3167;20.2667
Górka Kościelnicka;Małopolskie;50.1167;20.1667
Górka Lubartowska;Lubelskie;51.5167;22.6500
Górka Pabianicka;Kujawsko-Pomorskie;51.7000;19.3167
Górka Pierwsza;Wielkopolskie;52.5833;16.7000
Górka Prudnicka;Opolskie;50.4333;17.6667
Górka Sobocka;Dolnośląskie;50.7500;16.9500
Górka Wieruszowska;Wielkopolskie;51.3000;18.2000
Górki;Podlaskie;53.5833;22.1167
Górki;Mazowieckie;52.3667;20.2833
Górki;Mazowieckie;52.3333;20.5333
Górki;Mazowieckie;52.3000;21.3833
Górki;Lubelskie;52.2500;22.8333
Górki;Mazowieckie;52.2500;22.5500
Górki;Mazowieckie;52.1833;21.4167
Górki;Kujawsko-Pomorskie;51.9833;20.4333
Górki;Mazowieckie;51.9500;21.4500
Górki;Mazowieckie;51.8667;21.5833
Górki;Mazowieckie;51.6333;20.7833
Górki;Lubelskie;51.5000;23.0833
Górki;Lubelskie;51.4500;23.4667
Górki;Lubelskie;51.2167;21.9833
Górki;Świętokrzyskie;51.1333;20.7167
Górki;Świętokrzyskie;50.9500;20.2667
Górki;Świętokrzyskie;50.7167;20.7167
Górki;Podkarpackie;50.6667;21.4333
Górki;Świętokrzyskie;50.6167;20.5833
Górki;Lubelskie;50.4167;22.9000
Górki;Podkarpackie;50.3667;21.2833
Górki;Świętokrzyskie;50.3667;20.7500
Górki;Małopolskie;50.1833;21.1333
Górki;Podkarpackie;50.0667;22.8833
Górki;Podkarpackie;49.6500;22.0333
Górki;Pomorskie;53.9333;17.9167
Górki;Zachodniopomorskie;53.9000;14.8167
Górki;Warmińsko-Mazurskie;53.8333;19.3500
Górki;Warmińsko-Mazurskie;53.7333;18.9667
Górki;Kujawsko-Pomorskie;52.9833;19.5000
Górki;Małopolskie;52.7833;15.5000
Górki;Mazowieckie;52.4833;19.7167
Górki;Mazowieckie;52.4500;19.3333
Górki;Wielkopolskie;52.2333;18.8833
Górki;Śląskie;51.1667;19.1833
Górki;Śląskie;50.8667;18.6500
Górki;Śląskie;50.1000;19.1333
Górki;Śląskie;49.9833;19.4833
Górki Borze;Mazowieckie;52.4500;21.8500
Górki Duże;Mazowieckie;52.6333;20.8667
Górki Duże;Kujawsko-Pomorskie;51.5667;19.5000
Górki Grabieńskie;Kujawsko-Pomorskie;51.4667;18.9500
Górki Małe;Kujawsko-Pomorskie;51.5833;19.5167
Górki Małe;Śląskie;49.7667;18.8500
Górki Niemojewskie;Kujawsko-Pomorskie;51.2667;20.2333
Górki Pęcławskie;Mazowieckie;52.1167;19.5000
Górki Radostowskie;Świętokrzyskie;50.6667;21.1500
Górki Stare;Kujawsko-Pomorskie;51.7167;19.5167
Górki Sypniewo;Podlaskie;53.2833;22.1500
Górki Szczukowskie;Świętokrzyskie;50.8833;20.5333
Górki ŚreÄnie;Mazowieckie;52.4500;21.8667
Górki Wielkie;Śląskie;49.7833;18.8667
Górki Witowice;Mazowieckie;52.6500;20.8667
Górki Wschodnie;Pomorskie;54.3500;18.8000
Górki Zachodnie;Pomorskie;54.3667;18.7667
Górki Zadzimskie;Kujawsko-Pomorskie;51.7833;18.9000
Górki Zagajne;Kujawsko-Pomorskie;52.9167;17.6167
Górkło;Podlaskie;53.9000;21.7167
Górkowo;Warmińsko-Mazurskie;53.9833;20.9167
Górna;Podlaskie;52.7333;23.5667
Górna;Warmińsko-Mazurskie;53.7500;18.9167
Górna Grupa;Kujawsko-Pomorskie;53.4833;18.6667
Górna Owczarnia;Lubelskie;51.1333;22.0000
Górna Wieś;Mazowieckie;52.2167;20.5333
Górna Wieś;Małopolskie;50.1667;19.9333
Górna Wola;Mazowieckie;51.5167;21.0167
Górna Zwanowice;Opolskie;50.3833;17.1667
Górne;Podlaskie;54.2667;22.4500
Górne Arniki;Pomorskie;54.1500;18.1833
Górne Maliki;Pomorskie;53.9833;18.2667
Górne Wymiary;Kujawsko-Pomorskie;53.3833;18.5000
Górnica;Zachodniopomorskie;53.4833;16.3333
Górnica;Zachodniopomorskie;53.3667;16.2833
Górnica;Wielkopolskie;52.9833;16.3167
Górnik;Dolnośląskie;50.9500;17.2833
Górniki;Świętokrzyskie;51.0667;20.3500
Górniki;Lubelskie;50.5167;23.1000
Górniki;Śląskie;50.3833;18.7833
Górniki Nowe;Lubelskie;50.5167;23.1167
Górniki Stare;Lubelskie;50.5333;23.1000
Górno;Świętokrzyskie;50.8500;20.8167
Górno;Lubelskie;50.4833;23.4333
Górno;Podkarpackie;50.3000;22.1500
Górnowo;Zachodniopomorskie;53.0167;14.6667
Górny Bór;Śląskie;49.8000;18.8000
Górny Koniec;Podkarpackie;49.1667;22.4333
Górny Łęg;Małopolskie;50.0667;20.9333
Górny Młyn;Świętokrzyskie;51.1667;20.4500
Górny Śląsk;Podkarpackie;50.3000;22.1500
Górny Śląsk;Kujawsko-Pomorskie;51.7167;19.8833
Górowa;Małopolskie;49.7500;20.8167
Górowatki;Kujawsko-Pomorskie;53.3333;17.4000
Górowo;Warmińsko-Mazurskie;53.9667;20.9833
Górowo;Warmińsko-Mazurskie;53.2833;20.4167
Górowo Iławeckie;Warmińsko-Mazurskie;54.2878;20.4967
